"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Features","PinOut","Pitch","Mounting","CONtype","Color","Package","Supplier","Supplier PartNo","olddescription"
"682f6b8b-2aaf-4f0f-bfdb-e22d68c6520e","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,DIP8,100mil,DIP","ADAM TECH","ICS-308-T","MARS36","","","","","","DIP","DIP8","100mil","TH","IC SOCKET","","DIP8","","","CONN, IC SOCKET, DIP8, 0.1in PITCH, 0.15in SPAN"
"c5dc0e6f-1cd4-4c98-b2ae-602dc5c49efd","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,DIP14,100mil,DIP","ADAM TECH","ICS-314-T","MARS37","","","","","","DIP","DIP14","100mil","TH","IC SOCKET","","DIP14","","","CONN, IC SOCKET, DIP14, 0.1in PITCH, 0.15in SPAN"
"5eac3cf4-99a2-4770-bb2b-7dcadc221a5a","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,DIP16,100mil,DIP","ADAM TECH","ICS-316-T","MARS38","","","","","","DIP","DIP16","100mil","TH","IC SOCKET","","DIP16","","","CONN, IC SOCKET, DIP16, 0.1in PITCH, 0.15in SPAN"
"c10214de-73a1-4c57-a792-4f6b37e15145","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,18P,100mil,DIP","ADAM TECH","ICS-318-T","MARS39","","","","","","DIP","18P","100mil","TH","IC SOCKET","","DIP18","","","CONN, IC SOCKET, DIP18, 0.1in PITCH, 0.15in SPAN"
"70ec00b4-822b-4f00-ab3a-45c4fa0c153c","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,DIP20,100mil,DIP","ADAM TECH","ICS-320-T","MARS40","","","","","","DIP","DIP20","100mil","TH","IC SOCKET","","DIP20","","","CONN, IC SOCKET, DIP20, 0.1in PITCH, 0.15in SPAN"
"76e40017-5c9c-4ed4-891b-8b7b3ddd2d79","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,DIP24-150,100mil,DIP","ADAM TECH","ICS-324-T","MARS41","","","","","","DIP","DIP24-150","100mil","TH","IC SOCKET","","DIP24-150","","","CONN, IC SOCKET, DIP24, 0.1in PITCH, 0.15in SPAN"
"6f50fcd3-9e3a-417a-a4f1-6a2aabe9b60c","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,DIP24-600,100mil,DIP 600","ADAM TECH","ICS-624-T","MARS42","","","","","","DIP 600","DIP24-600","100mil","TH","IC SOCKET","","DIP24-600","","","CONN, IC SOCKET, DIP24, 0.1in PITCH, 0.6in SPAN"
"e5018699-5935-4509-be58-89fdd246e0df","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,DIP28-600,100mil,DIP 600","ADAM TECH","ICS-628-T","MARS43","","","","","","DIP 600","DIP28-600","100mil","TH","IC SOCKET","","DIP28-600","","","CONN, IC SOCKET, DIP8, 0.1in PITCH, 0.6in SPAN"
"201b478a-7030-470e-8231-759450434a71","CONN-ICSOCKET",".\SCHLIB\CONNECTORS-GENERIC.SCHLIB","","","CONNECTOR,TH,IC SOCKET,DIP40-600,100mil,DIP 600","ADAM TECH","ICS-640-T","MARS44","","","","","","DIP 600","DIP40-600","100mil","TH","IC SOCKET","","DIP40-600","","","CONN, IC SOCKET, DIP8, 0.1in PITCH, 0.6in SPAN"
"74f7cdd7-5bf8-4105-93d2-adc7f4e8c8e4","","","","","CONNECTOR,SMD,USB2.0 MINI B","MOLEX","0513870578","A0591","","","","","","USB2.0 MINI B","","","","SMD","","","","WM5462CT-ND","CONN, USB2,MINI B,SMD, RIGHT ANGLE"
